,step,x,y,point,amount_of_movement,direction_angle,distance,azimuth,collision_flag,boids_flag,estimated_probability
0,0,-20.467654215569183,8.315834227547677,[-20.46765422   8.31583423],0.0,0.0,12.649850396507045,41.10081572623758,0,0,0.0
0,1,-22.67859749207398,6.387050044754542,[-22.67859749   6.38705004],2.9340208921742104,221.10081572623758,9.715829504332834,41.10081572623758,0,1,0.0
0,2,-21.285792428975977,4.869747154888354,[-21.28579243   4.86974715],2.059639289630035,312.550313210158,9.982577369769574,29.19770110945232,0,0,0.15045875767933115
0,3,-21.392598186278384,6.2018537936345055,[-21.39259819   6.20185379],1.3363815199203073,94.58405966210739,10.608975278530762,35.77371738270185,0,0,0.1253220281837158
0,4,-23.386846241754707,4.7649469155813176,[-23.38684624   4.76494692],2.4579924090541154,215.77371738270185,8.150982869476646,35.77371738270184,0,1,0.1253220281837158
0,5,-22.366910582272453,5.182848714583133,[-22.36691058   5.18284871],1.1022298594632856,22.280555593361797,9.226373873699261,34.176407017141464,0,0,0.18372904917107163
0,6,-20.504599986312968,3.045590059442007,[-20.50459999   3.04559006],2.8347972263988526,311.06742206599324,9.97187245356155,17.783317882932987,0,0,0.15090894408225874
0,7,-20.98154330725492,1.4686534587579279,[-20.98154331   1.46865346],1.6474841346635778,253.1720970857821,9.13725911314986,9.249409067895987,0,0,0.187822573144522
0,8,-22.009360513952803,-0.42095977963214004,[-22.00936051  -0.42095978],2.15105704273114,241.45690704821197,8.00172022330477,356.9843536638182,0,0,0.2418874757865497
0,9,-22.204757921464005,0.9500135099924072,[-22.20475792   0.95001351],1.3848277538113003,98.11142874945084,7.852918230323444,6.948425371482793,0,0,0.24908655307440888
0,10,-22.42061190025459,-1.847584911639239,[-22.4206119   -1.84758491],2.805913375155335,265.587977486988,7.801326423902498,346.30050478423186,0,0,0.2515802532882176
0,11,-21.73940783010689,-2.701031487081924,[-21.73940783  -2.70103149],1.0919752938233698,308.59617082462654,8.690969686491107,341.8933966359557,0,0,0.20873677873547059
0,12,-22.95486407500023,-2.5663861515185262,[-22.95486408  -2.56638615],1.222891348255926,173.67868423092133,7.498018276880127,339.98444405896777,0,0,0.2661801612348842
0,13,-22.256409932184262,-4.105958091887501,[-22.25640993  -4.10595809],1.6905975124754802,294.40226347079266,8.764820533856412,332.06569387700023,0,0,0.20523458254665974
0,14,-21.122961110217858,-3.0567487442664705,[-21.12296111  -3.05674874],1.5445214427622485,42.78977209611782,9.38858521483824,340.9991971874226,0,0,0.17636158095857035
0,15,-21.635863495985266,-5.222639603406197,[-21.6358635  -5.2226396],2.2257924591099956,256.67726636610394,9.860767915576284,328.0189856781146,0,0,0.15561951442911165
0,16,-21.587437333609373,-4.0891578143591385,[-21.58743733  -4.08915781],1.134515781866333,87.55361891132942,9.353738410212452,334.0766540797529,0,0,0.17793475000270895
0,17,-20.46234020103192,-5.811018773051256,[-20.4623402   -5.81101877],2.056854083011758,303.1613746308562,11.168477676998148,328.6472634812611,0,0,0.10503947108192643
0,18,-22.238639293945894,-4.728771388153568,[-22.23863929  -4.72877139],2.08002352621428,148.64726348126112,9.088454150783868,328.6472634812611,0,1,0.10503947108192643
0,19,-24.061903594611884,-4.774122907609828,[-24.06190359  -4.77412291],1.8238282458608959,181.42487019835116,7.619267580066222,321.20134311146427,0,0,0.2603596869298534
0,20,-25.398979284988304,-6.07167549668546,[-25.39897928  -6.0716755 ],1.8631731329139687,224.14054780753244,7.61804666282751,307.15427964153537,0,0,0.26041842026473666
0,21,-26.648464752811588,-6.277873108220482,[-26.64846475  -6.27787311],1.266385166252479,189.37083631308207,7.116493467717383,298.09618747977925,0,0,0.28426485067432244
0,22,-27.178567233192375,-7.187076956323741,[-27.17856723  -7.18707696],1.0524544061913739,239.75609155672927,7.721046433854381,291.4334961108121,0,0,0.2554562487381118
0,23,-27.463384085476324,-6.063943290155758,[-27.46338409  -6.06394329],1.15868454353412,104.22973809822535,6.57311406595381,292.7001084659745,0,0,0.30904097188692997
