,step,x,y,point,amount_of_movement,direction_angle,distance,azimuth,collision_flag,boids_flag,estimated_probability
0,0,-20.141291265458953,3.6881903613142732,[-20.14129127   3.68819036],0.0,0.0,10.52600997785046,20.511064898556224,0,0,0.0
0,1,-21.186882758138402,3.297029554254274,[-21.18688276   3.29702955],1.1163638952167294,200.5110648985562,9.40964608263373,20.511064898556207,0,1,0.0
0,2,-22.674931453266744,5.067582745946254,[-22.67493145   5.06758275],2.3128224150772616,130.04513114369155,8.907133326797855,34.676015674902764,0,0,0.19852841985780717
0,3,-21.14860207648308,4.501908425782164,[-21.14860208   4.50190843],1.6277803300586706,339.6647446589906,9.930479579283574,26.958338294591933,0,0,0.15265581342252224
0,4,-19.586678927251917,2.3429134072748976,[-19.58667893   2.34291341],2.664744530727737,305.88382648170847,10.673635697274278,12.679944448813526,0,0,0.12286952862346123
0,5,-20.734175197618793,2.084735984543131,[-20.7341752    2.08473598],1.176181649284798,192.67994444881353,9.49745404798948,12.679944448813526,0,1,0.12286952862346123
0,6,-19.123725763818992,1.7231293464679214,[-19.12372576   1.72312935],1.6505474060220608,347.3448296203689,11.01192608063066,9.002552744304868,0,0,0.11049801481791223
0,7,-20.85826653574422,1.4483258575298794,[-20.85826654   1.44832586],1.7561744352436885,189.00255274430486,9.25575164538697,9.002552744304909,0,1,0.11049801481791223
0,8,-20.102077036375352,0.6673365981848711,[-20.10207704   0.6673366 ],1.0870909723514426,314.0757104142417,9.920394000700027,3.857151878653597,0,0,0.15308291202589902
0,9,-21.509128058216803,-0.1170603483228434,[-21.50912806  -0.11706035],1.610922452433914,209.1386105286134,8.491678836184905,359.2101354180094,0,0,0.21825105246115997
0,10,-21.719116485593023,1.5613387392199376,[-21.71911649   1.56133874],1.6914841520677568,97.13135351095926,8.426791230223172,10.677615610671232,0,0,0.2213655670903304
0,11,-21.407949395025803,2.8004679470799045,[-21.4079494    2.80046795],1.2776017188559736,75.90350803246231,9.036921728169355,18.052710021480678,0,0,0.19246768446694099
0,12,-22.377686331790045,3.7254747793236014,[-22.37768633   3.72547478],1.3401594555210268,136.35235713931834,8.484033709737163,26.04749080111049,0,0,0.2186176319911845
0,13,-21.884999545649315,2.8242181747021466,[-21.88499955   2.82421817],1.0271337481611023,298.66394939057005,8.59240598857094,19.18914366208982,0,0,0.2134316521470882
