,step,x,y,point,amount_of_movement,direction_angle,distance,azimuth,collision_flag,boids_flag,estimated_probability
0,0,-24.16114464479673,-2.145097318823411,[-24.16114464  -2.14509732],0.0,0.0,6.220423969972567,339.82751641796256,0,0,0.0
0,1,-26.404744434293168,-0.18948849188335304,[-26.40474443  -0.18948849],2.9762637482982455,138.923327123586,3.600245612635641,356.9830087185419,0,0,0.39607787654735116
0,2,-23.46570548032633,-0.34439098735146645,[-23.46570548  -0.34439099],2.9431182028652407,356.9830087185419,6.543363815500881,356.9830087185418,0,2,0.39607787654735116
0,3,-21.395388983715787,0.7838587933966782,[-21.39538898   0.78385879],2.35778666632416,28.588832611710014,8.640241046958408,5.205136881279143,0,0,0.21115033425950308
0,4,-20.70430266029533,2.01193246204632,[-20.70430266   2.01193246],1.4091718284330677,60.63179646156838,9.510933774515951,12.212550931974862,0,0,0.1708817118302425
0,5,-23.324014216160297,2.3570876609320597,[-23.32401422   2.35708766],2.6423513671066345,172.494332457331,7.07987630028576,19.44657787039242,0,0,0.2859762980014492
0,6,-25.285188504265225,0.3683043468606504,[-25.2851885    0.36830435],2.793110033395163,225.4004738944064,4.729174931447265,4.466672279548959,0,0,0.375784494784512
0,7,-22.592211080938608,0.5786701890382336,[-22.59221108   0.57867019],2.70118144338768,4.466672279548959,7.430356374834944,4.466672279548877,0,2,0.375784494784512
0,8,-20.56839425238068,1.960791651494659,[-20.56839425   1.96079165],2.45073341931287,34.33026840985211,9.633269999283572,11.74426331675495,0,0,0.1654735441746576
0,9,-19.730974311327756,4.002683790974895,[-19.73097431   4.00268379],2.2069426061735857,67.70050577334189,11.021541005011214,21.294953049897696,0,0,0.11015785073938883
0,10,-22.522337285852437,2.91466009022768,[-22.52233729   2.91466009],2.995914356074776,201.29495304989769,8.02562664893644,21.29495304989773,0,1,0.11015785073938883
0,11,-24.05018006496049,1.7515535579351946,[-24.05018006   1.75155356],1.920187585402548,217.28106440919794,6.202281606450081,16.403778069122954,0,0,0.32496731109901117
0,12,-22.964717137687675,0.5596242658883979,[-22.96471714   0.55962427],1.6121182350320482,312.3234143678523,7.057505527572517,4.5480383040242325,0,0,0.28701937541905453
0,13,-23.187852937764717,1.824601994778369,[-23.18785294   1.82460199],1.2845070026526328,100.00378201287943,7.052270558966806,14.994449312271941,0,0,0.2872631837525123
0,14,-24.17631313615933,3.506840058847117,[-24.17631314   3.50684006],1.9511479872147284,120.43791550522548,6.798033236635817,31.05502118502981,0,0,0.29896174332109243
0,15,-23.41799660328812,4.599529322216389,[-23.4179966    4.59952932],1.3300427776234471,55.239699386683775,8.029846742015385,34.94599818665018,0,0,0.2405263340916987
0,16,-24.173341295991467,7.247472427027526,[-24.1733413    7.24747243],2.7535700991825065,105.92117756674129,9.299236970500464,51.202202734005404,0,0,0.18040584684766073
0,17,-23.025487178917864,8.154899503856958,[-23.02548718   8.1548995 ],1.463213235945475,38.32785722007601,10.730620439165929,49.46114155930735,0,0,0.12073123760283269
0,18,-24.199115783757623,6.782642606086265,[-24.19911578   6.78264261],1.8056835535545446,229.46114155930735,8.924936885611382,49.461141559307336,0,1,0.12073123760283269
0,19,-25.21535030378262,8.304262938047792,[-25.2153503    8.30426294],1.829770760048686,123.73751108575054,9.58403128436814,60.05083480305636,0,0,0.1676414356164039
0,20,-26.298339565400212,8.641299044709147,[-26.29833957   8.64129904],1.1342217939946575,162.7133832047352,9.400762689972165,66.81123227771768,0,0,0.17581309763351904
0,21,-26.846861265704792,6.294439572447596,[-26.84686127   6.29443957],2.410109009619439,256.84465177947004,7.04004640672965,63.39186277355705,0,0,0.28783207765977575
0,22,-28.139518177755786,4.470858408241805,[-28.13951818   4.47085841],2.235265119559503,234.6688404924103,4.842516651230803,67.40608330021443,0,0,0.3727542642588062
0,23,-27.328706117787597,6.4192923421138,[-27.32870612   6.41929234],2.1104054092173277,67.40608330021443,6.952922060448132,67.40608330021443,0,2,0.3727542642588062
0,24,-27.960579050878835,4.757977359166487,[-27.96057905   4.75797736],1.7774225373102912,249.17593553302896,5.176638519160399,66.79848167984616,0,0,0.362876167940764
0,25,-30.702954345999654,4.703686339222317,[-30.70295435   4.70368634],2.7429126442771707,181.13414091426733,4.755923673730103,98.49980593663473,0,0,0.3750845198412752
0,26,-31.0729963465832,7.179752548910665,[-31.07299635   7.17975255],2.503564450330028,98.49980593663473,7.259488124060131,98.49980593663473,0,2,0.3750845198412752
0,27,-29.861882519005665,7.770135324263965,[-29.86188252   7.77013532],1.3473487020008483,25.98788748303213,7.771362775982787,88.98165024219614,0,0,0.25302762967764697
0,28,-29.489255390211643,8.891432330717114,[-29.48925539   8.89143233],1.1815912803478499,71.61742629001033,8.906089430729372,86.71240955738547,0,0,0.19857739005966876
0,29,-27.060059743714614,9.766985455424907,[-27.06005974   9.76698546],2.5821666799696907,19.820645032594207,10.199865371513933,73.24778772052116,0,0,0.14146545010768674
0,30,-27.595452708732196,7.988318255952425,[-27.59545271   7.98831826],1.8574990265056934,253.24778772052116,8.342366345008239,73.24778772052116,0,1,0.14146545010768674
0,31,-29.64345446188852,6.7381876428651495,[-29.64345446   6.73818764],2.3994036198,211.40050963122314,6.7476142029022235,86.9710667676325,0,0,0.30124518506836334
0,32,-30.88289874927796,6.98807634883274,[-30.88289875   6.98807635],1.2643838447688547,168.6012038461995,7.043629835432304,97.20080224600727,0,0,0.28766537172144857
0,33,-32.321226520493845,7.967843496062379,[-32.32122652   7.9678435 ],1.7403248088335006,145.73790023249978,8.299073595118163,106.24212539379577,0,0,0.22751430748282236
0,34,-30.410200656821583,7.2785701895250945,[-30.41020066   7.27857019],2.0315308372577445,340.16652070313955,7.290119929239863,93.22562403669912,0,0,0.276086484323624
0,35,-31.2148784716913,10.12686354957737,[-31.21487847  10.12686355],2.959777263690865,105.77563686658605,10.199475234184247,96.84084831207302,0,0,0.1414813452672126
0,36,-30.963571846038725,8.032046688146457,[-30.96357185   8.03204669],2.1098371271337863,276.84084831207304,8.08963810705046,96.84084831207304,0,1,0.1414813452672126
0,37,-28.52057510087144,8.290504896302496,[-28.5205751   8.2905049],2.4566305669068718,6.039174368051472,8.421470742558999,79.88217598440052,0,0,0.22162125038818162
0,38,-28.97843897979365,5.498962424340688,[-28.97843898   5.49896242],2.828842290476501,260.6853834750079,5.593046992679022,79.47594089706884,0,0,0.34874426607996
0,39,-29.480351639211282,7.321890709793272,[-29.48035164   7.32189071],1.8907627697801692,105.39399789526479,7.340307758195662,85.94041763663449,0,0,0.2737051185153272
0,40,-30.772652627430016,7.832313514714425,[-30.77265263   7.83231351],1.3894507130282439,158.44736405278712,7.870332081650224,95.63396252342322,0,0,0.24824447678223444
0,41,-28.967007627354533,9.63983939817679,[-28.96700763   9.6398394 ],2.5548979795060296,45.029826065127814,9.695028461257097,83.88360068594514,0,0,0.16277170297916158
0,42,-31.00043346037132,9.19660329368501,[-31.00043346   9.19660329],2.081172473079792,192.2967068987082,9.250858298020164,96.2083901643696,0,0,0.18260989506592745
0,43,-33.78321687155655,8.143179322297867,[-33.78321687   8.14317932],2.9754975343731607,200.7341836769051,8.979092346798181,114.918977724012,0,0,0.19516119145524494
0,44,-34.70856432904235,8.618221296511242,[-34.70856433   8.6182213 ],1.0401599849734593,152.82557503793083,9.820606720379855,118.64998168067352,0,0,0.15733908053833726
0,45,-33.00509274312926,10.039588519762269,[-33.00509274  10.03958852],2.2185806785748405,39.841432595410154,10.479690837088206,106.66371917599852,0,0,0.1303080477430715
0,46,-32.318271168308584,7.74501507824032,[-32.31827117   7.74501508],2.3951599433392823,286.6637191759985,8.084530893748923,106.66371917599854,0,1,0.1303080477430715
0,47,-31.27081601715328,7.984591370641967,[-31.27081602   7.98459137],1.074504115191143,12.883213326858245,8.085089529843408,99.0432628598522,0,0,0.23785328529458713
0,48,-29.046469899297495,8.196160263020573,[-29.0464699    8.19616026],2.23438516112205,5.43334790448736,8.251440038566795,83.36411807633884,0,0,0.22981262344214567
0,49,-27.648574334870055,8.221520218093236,[-27.64857433   8.22152022],1.3981255796126464,1.0393187155218264,8.551175203160536,74.0390138770689,0,0,0.21540195117343966
0,50,-25.28486770313237,8.033156613845884,[-25.2848677    8.03315661],2.3712000945356264,355.4437321832225,9.314723708169776,59.58881989260296,0,0,0.17970237956317553
0,51,-27.986805466840508,8.639712723789426,[-27.98680547   8.63971272],2.7691836330337454,167.34747069709718,8.871166111507108,76.88320163851772,0,0,0.20021762812943017
0,52,-29.436180719322852,7.344403426636184,[-29.43618072   7.34440343],1.9438402192052424,221.7872172110096,7.366013431595724,85.61009579594564,0,0,0.27248274202515965
0,53,-27.26408296640733,6.075480070813789,[-27.26408297   6.07548007],2.515586438819432,329.7068451582829,6.663084879060002,65.75695570464507,0,0,0.3050430545651174
0,54,-26.699353148304038,5.010185818635053,[-26.69935315   5.01018582],1.205724517118247,297.92879043668614,5.999685956519913,56.62361498442405,0,0,0.3332371601127954
0,55,-23.740605719825588,5.031318176093005,[-23.74060572   5.03131818],2.9588228946761195,0.40921854084418285,8.030826815699863,38.79241572935165,0,0,0.24047890600642438
0,56,-24.798550673206492,6.179588546441812,[-24.79855067   6.17958855],1.5613367246705974,132.65554320920472,8.077276131377177,49.912194349016204,0,0,0.23823130881948676
0,57,-26.553966252196727,6.224372533169595,[-26.55396625   6.22437253],1.7559867483636813,178.5385928027599,7.114630139555756,61.02952844542619,0,0,0.28435206106664834
0,58,-28.87837563559102,4.8736432426263265,[-28.87837564   4.87364324],2.6883728532223654,210.1611475526234,5.001043858159325,77.0395714520748,0,0,0.36823937981915994
0,59,-26.530002809903564,4.680308741886673,[-26.53000281   4.68030874],2.3563177115159015,355.2936237968963,5.826334217898761,53.44663360985707,0,0,0.34003666279682754
0,60,-26.671909661737516,6.3084945363012395,[-26.67190966   6.30849454],1.634358141819233,94.9811081457708,7.132551339750642,62.18579906589156,0,0,0.2835127609329513
0,61,-26.59235185106252,5.215546729453247,[-26.59235185   5.21554673],1.0958395656907243,274.1633289604696,6.230087767765996,56.840862590130655,0,0,0.3238069179911213
0,62,-29.20719430752651,4.029143992787298,[-29.20719431   4.02914399],2.8714025363391813,204.40468090100313,4.106402583847855,78.8682478385743,0,0,0.389293754747726
0,63,-28.8659456669146,5.763414979261432,[-28.86594567   5.76341498],1.7675255271835373,78.8682478385743,5.873928111031392,78.8682478385743,0,2,0.389293754747726
0,64,-30.93075161943617,4.941906823881572,[-30.93075162   4.94190682],2.222228447060319,201.6957375393949,5.028791269580624,100.66606246807406,0,0,0.36741678787634124
0,65,-28.940363153744702,5.3346388229743615,[-28.94036315   5.33463882],2.0287643203361623,11.16189251834097,5.438860323406656,78.76538234140843,0,0,0.3541979551692732
0,66,-26.74488078833036,4.059942332543255,[-26.74488079   4.05994233],2.538699265285815,329.86056075505854,5.203742194397946,51.27858586614231,0,0,0.3620155448904275
0,67,-26.117279943444064,2.705546392557956,[-26.11727994   2.70554639],1.4927394892447419,294.8620927238031,4.732388014508647,34.86944989262859,0,0,0.37570091240406567
0,68,-24.158137917414663,4.0707103919770224,[-24.15813792   4.07071039],2.3878672960331038,34.86944989262859,7.120255310541752,34.86944989262859,0,2,0.37570091240406567
0,69,-26.28006188527134,2.686946757596666,[-26.28006189   2.68694676],2.533251491896957,213.10945085056377,4.588858513352776,35.84094044176356,0,0,0.37929995052924664
0,70,-25.157840622668786,3.4975378722490977,[-25.15784062   3.49753787],1.3843549101985166,35.84094044176356,5.973213423551293,35.840940441763564,0,2,0.37929995052924664
0,71,-27.47565214502683,2.1158210156924495,[-27.47565215   2.11582102],2.6984054040985956,210.80043563214258,3.293786675447192,39.968574132794885,0,0,0.3982542154085153
0,72,-26.10909452603514,3.2612223215073284,[-26.10909453   3.26122232],1.7830939059361601,39.968574132794885,5.076880581383352,39.96857413279489,0,2,0.3982542154085153
0,73,-26.71603897293641,1.0633960672395988,[-26.71603897   1.06339607],2.2800924993457627,254.56215252154192,3.4518417146638103,17.94273466339397,0,0,0.3973166330165561
0,74,-25.38142987560825,1.4955626044502945,[-25.38142988   1.4955626 ],1.4028361837918801,17.94273466339397,4.854677898455691,17.94273466339401,0,2,0.3973166330165561
