,step,x,y,point,amount_of_movement,direction_angle,distance,azimuth,collision_flag,boids_flag,estimated_probability
0,0,-24.39226825037271,8.366463226610525,[-24.39226825   8.36646323],0.0,0.0,10.071959208515699,56.16751112550835,0,0,0.0
0,1,-25.065888300686765,7.361454850445836,[-25.0658883    7.36145485],1.2098784270935234,236.16751112550836,8.862080781422176,56.16751112550834,0,1,0.0
0,2,-27.320759166173612,5.756533395323297,[-27.32075917   5.7565334 ],2.7677094314855473,215.44164833902545,6.3494888122678885,65.04150268806976,0,0,0.318758970782285
0,3,-25.580698329152384,4.444327090861814,[-25.58069833   4.44432709],2.1793799810963392,322.97949914439374,6.267556984066821,45.16176750808776,0,0,0.3222340590334357
0,4,-24.133300020445677,4.820983360291035,[-24.13330002   4.82098336],1.495604161985173,14.586551973429037,7.593421442953482,39.411787584164834,0,0,0.261602541493682
0,5,-26.096008654665425,6.661875062756369,[-26.09600865   6.66187506],2.690930590529318,136.83437021774708,7.721510718520206,59.62884867587281,0,0,0.2554338511399311
0,6,-28.596619958238264,7.775520520880836,[-28.59661996   7.77552052],2.737382526786767,155.99423349604803,7.901151492804966,79.7690035751952,0,0,0.24675378723575542
0,7,-26.144177432284582,6.881898252192521,[-26.14417743   6.88189825],2.6101791322056282,339.9792452610426,7.88846570805971,60.73875559370045,0,0,0.24736743100412495
0,8,-28.034863497196593,6.630636955122281,[-28.0348635    6.63063696],1.9073085842248714,187.56992347755408,6.9157145621608525,73.4916404013546,0,0,0.29358298296469126
0,9,-29.792942816076323,6.648071189695416,[-29.79294282   6.64807119],1.7581657612431674,179.43183717185937,6.651294852934474,88.21607371093052,0,0,0.30556962683258204
0,10,-26.97497474468965,7.608652638441212,[-26.97497474   7.60865264],2.977190079761334,18.823080009027976,8.187940691512358,68.31836967155643,0,0,0.2328797377696064
0,11,-26.99395659298194,5.601720472050426,[-26.99395659   5.60172047],2.0070219308863084,269.45810457168386,6.357324060630037,61.780720884913755,0,0,0.31842413399342107
0,12,-28.822150883467916,6.214889257403726,[-28.82215088   6.21488926],1.928281702214995,161.4587607100454,6.3255179252854585,79.2685495833281,0,0,0.31978067057689824
0,13,-29.20442235370497,4.025186234171039,[-29.20442235   4.02518623],2.2228204621407395,260.09728010483855,4.103055935646547,78.81959792174342,0,0,0.3893513299483496
0,14,-28.849218319363843,5.8223236927337085,[-28.84921832   5.82232369],1.8319041871728186,78.81959792174342,5.934960122819366,78.81959792174342,0,2,0.3893513299483496
0,15,-27.35632049952364,8.33391732335054,[-27.3563205    8.33391732],2.921788230833759,59.27263955842107,8.743181300515344,72.39996750987848,0,0,0.20625930034205325
0,16,-28.393108074219494,8.361889036115423,[-28.39310807   8.36188904],1.0371648334564338,178.45457984952284,8.514886371141184,79.12216218696587,0,0,0.21713891544090927
0,17,-25.760705529612565,8.286297599803229,[-25.76070553   8.2862976 ],2.6334876536822374,358.35516022950435,9.30775727654961,62.905579844376064,0,0,0.1800186953550047
0,18,-27.356578263826492,8.765653512690738,[-27.35657826   8.76565351],1.6663108578616574,163.28118951919168,9.155564427156966,73.21848257271485,0,0,0.18697918068847244
0,19,-26.034068479862427,9.103347280540346,[-26.03406848   9.10334728],1.364942932699072,14.324009089930122,9.92973033533852,66.4593425306225,0,0,0.15268752234570832
0,20,-28.960710710187506,9.11032851391188,[-28.96071071   9.11032851],2.926650556855318,179.86332649574902,9.169416985791123,83.49193857728908,0,0,0.18634180095942812
0,21,-27.731159964995467,8.455676296301753,[-27.73115996   8.4556763 ],1.3929696913515939,331.9677322780864,8.754775652881044,74.98009733217005,0,0,0.20571009864069076
0,22,-30.33722861903893,7.437533033889935,[-30.33722862   7.43753303],2.79789376717246,201.33967649706912,7.445174327824898,92.59609630548584,0,0,0.2687079896609587
